id,no,name,lat,lng,address,phone,hazards,capacity,notes,hidden
ep-1000000022,22,浜崎小学校（グラウンド）,34.66834207,138.9638961,静岡県下田市須崎1785-1,0558-22-0441,"洪水,土砂,高潮,地震,津波,火災,内水,火山",2180人 （1㎡あたり1人）,,
ep-1000000023,23,旧下田東中学校（グラウンド）,34.67562428,138.9651252,静岡県下田市柿崎1106,0558-22-0868,"洪水,土砂,高潮,地震,津波,火災,内水,火山",4990人 （1㎡あたり1人）,,
ep-1000000024,24,荒川区下田臨海学園,34.67690128,138.9628905,静岡県下田市柿崎17-27,0558-22-0202,"洪水,土砂,高潮,地震,津波,火災,内水,火山",200人 （施設定員数）,,
ep-1000000025,25,元須崎保育所,34.65956417,138.967688,静岡県下田市須崎680-1,,"洪水,高潮,地震,津波,火災,内水,火山",110人 （3.3㎡あたり1人）,,
ep-1000000026,26,白浜小学校（グラウンド）,34.69985871,138.9714322,静岡県下田市白浜1324-1,0558-22-0860,"洪水,土砂,高潮,地震,津波,火災,内水,火山",3270人 （1㎡あたり1人）,,
ep-1000000027,27,板戸区集会所,34.70705594,138.9761646,静岡県下田市白浜532-1,,"洪水,高潮,地震,津波,火災,内水,火山",30人 （3.3㎡あたり1人）,,
ep-1000000028,28,下田市民文化会館,34.67558864,138.941921,静岡県下田市４丁目1-2,0558-23-5151,"洪水,土砂,高潮,火災,内水,火山",1160人 （3.3㎡あたり1人）,,
ep-1000000029,29,敷根公園,34.6819867,138.932055,静岡県下田市敷根757,0558-23-6333,"洪水,土砂,高潮,地震,津波,火災,内水,火山",710人 （3.3㎡あたり1人）,,
ep-1000000030,30,下田公園,34.67022466,138.9455178,静岡県下田市３丁目19-1,,"洪水,高潮,地震,津波,火災,内水,火山",2400人 （1㎡あたり1人）,,
ep-1000000031,31,長楽寺,34.67141157,138.9424453,静岡県下田市３丁目13-19,0558-22-0731,"洪水,高潮,地震,津波,火災,内水,火山",640人 （1㎡あたり1人）,,
ep-1000000032,32,天理教下田分教会,34.67353113,138.9365685,静岡県下田市６丁目6-16,0558-22-1754,"洪水,土砂,高潮,地震,津波,火災,内水,火山",60人 （1㎡あたり1人）,,
ep-1000000033,33,中村中央公園,34.68826292,138.9427179,静岡県下田市西中20,,"洪水,土砂,高潮,火災,内水,火山",3490人 （1㎡あたり1人）,,
ep-1000000034,34,立正佼成会,34.6895884,138.9452714,静岡県下田市東中9-8,0558-22-1172,"洪水,土砂,高潮,地震,津波,火災,内水,火山",800人 （1㎡あたり1人）,,
ep-1000000035,35,中村東公園,34.68801811,138.9464033,静岡県下田市東中14,,"洪水,土砂,高潮,地震,津波,火災,内水,火山",1580人 （1㎡あたり1人）,,
ep-1000000036,36,竹麻神社,34.69334349,138.9393789,静岡県下田市高馬10-13,,"洪水,高潮,地震,津波,火災,内水,火山",100人 （1㎡あたり1人）,,
ep-1000000037,37,諏訪神社（河内）,34.70012868,138.9423813,静岡県下田市河内850,,"洪水,高潮,地震,津波,火災,内水,火山",80人 （1㎡あたり1人）,,
ep-1000000038,38,重福院,34.70512578,138.9413744,静岡県下田市河内749,0558-22-5536,"洪水,土砂,高潮,地震,津波,火災,内水,火山",160人 （1㎡あたり1人）,,
ep-1000000039,39,向陽院,34.70332784,138.9386905,静岡県下田市河内289,0558-22-3707,"洪水,高潮,地震,津波,火災,内水,火山",200人 （1㎡あたり1人）,,
ep-1000000040,40,下田自動車学校,34.70613233,138.9405851,静岡県下田市河内741-2,0558-22-2308,"洪水,土砂,高潮,地震,津波,火災,内水,火山",800人 （1㎡あたり1人）,,
ep-1000000041,41,諏訪神社（横川）,34.71534638,138.9026619,静岡県下田市横川323,,"洪水,土砂,高潮,地震,津波,火災,内水,火山",150人 （1㎡あたり1人）,,
ep-1000000042,42,宝徳院,34.66084701,138.9140655,静岡県下田市吉佐美1667,0558-22-5659,"洪水,高潮,火災,内水,火山",400人 （1㎡あたり1人）,,
ep-1000000043,43,観音寺,34.65811952,138.9683166,静岡県下田市須崎615,0558-22-3187,"洪水,土砂,高潮,地震,津波,火災,内水,火山",240人 （1㎡あたり1人）,,
ep-1000000044,44,旭洞院,34.65679575,138.9653099,静岡県下田市須崎816,0558-22-5834,"洪水,高潮,地震,津波,火災,内水,火山",200人 （1㎡あたり1人）,,
ep-1000000045,45,禅福寺,34.70719228,138.9767362,静岡県下田市白浜351,0558-23-2421,"洪水,高潮,地震,津波,火災,内水,火山",120人 （1㎡あたり1人）,,
ep-1000000046,46,稲荷大明神（オヤマダ）,34.68563732,138.9421682,静岡県下田市西本郷３丁目293,,"洪水,地震,津波,内水",100人 （1㎡あたり1人）,,
ep-1000000047,47,下田合同庁舎,34.68483967,138.9443342,静岡県下田市西本郷２丁目5-33,,"洪水,高潮,地震,津波,内水",320人 （1㎡あたり1人）,,
ep-1000000048,48,旧下田幼稚園上避難地,34.67675158,138.9409801,静岡県下田市１丁目17-2,,"地震,津波",600人 （1㎡あたり1人）,,
ep-1000000049,49,春日山避難地,34.6712603,138.9400124,静岡県下田市５丁目1017,,"地震,津波",340人 （1㎡あたり1人）,,
ep-1000000050,50,梓の里,34.71952386,138.8760062,静岡県下田市加増野181-1,0558-28-1172,"洪水,土砂,高潮,地震,津波,火災,内水,火山",20人 （3.3㎡あたり1人）,,
ep-1000000051,51,子育て地蔵広場,34.69829369,138.9289979,静岡県下田市蓮台寺370-6,0558-22-2219,"洪水,土砂,高潮,地震,津波,火災,内水,火山",330人 （1㎡あたり1人）,,
ep-1000000052,52,伊豆新聞社ビル,34.68447735,138.9453625,静岡県下田市東本郷２丁目9-15,0558-22-2555,"地震,津波",100人 （1㎡あたり1人）,,
ep-1000000053,53,プレベール東本郷,34.68503189,138.9452409,静岡県下田市東本郷２丁目9-9,0558-36-4145,"地震,津波",204人 （1㎡あたり1人）,,
ep-1000000054,54,プレベール西中,34.6879881,138.9420774,静岡県下田市西中19-3,0558-36-4146,"地震,津波",169人 （1㎡あたり1人）,,
